"","log_prior","log_likelihood","log_posterior","time_shift","beta_0","beta_1","wane","log_delta","sigma_2"
"55",-18.9373035331824,-41252.0492189822,-41270.9865225154,0.800283316854099,0.790673563926584,0.72414289395714,0.26804586348629,-8.82421703810492,5.64619185699654
"56",-18.9373035331824,-41252.0492189822,-41270.9865225154,0.800283316854099,0.790673563926584,0.72414289395714,0.26804586348629,-8.82421703810492,5.64619185699654
"57",-18.9373035331824,-41252.0492189822,-41270.9865225154,0.800283316854099,0.790673563926584,0.72414289395714,0.26804586348629,-8.82421703810492,5.64619185699654
"58",-18.9373035331824,-41252.0492189822,-41270.9865225154,0.800283316854099,0.790673563926584,0.72414289395714,0.26804586348629,-8.82421703810492,5.64619185699654
"59",-18.9373035331824,-41252.0492189822,-41270.9865225154,0.800283316854099,0.790673563926584,0.72414289395714,0.26804586348629,-8.82421703810492,5.64619185699654
"60",-18.9373035331824,-41252.0492189822,-41270.9865225154,0.800283316854099,0.790673563926584,0.72414289395714,0.26804586348629,-8.82421703810492,5.64619185699654
"61",-18.9373035331824,-41252.0492189822,-41270.9865225154,0.800283316854099,0.790673563926584,0.72414289395714,0.26804586348629,-8.82421703810492,5.64619185699654
"62",-18.9373035331824,-41252.0492189822,-41270.9865225154,0.800283316854099,0.790673563926584,0.72414289395714,0.26804586348629,-8.82421703810492,5.64619185699654
"63",-18.9373035331824,-41252.0492189822,-41270.9865225154,0.800283316854099,0.790673563926584,0.72414289395714,0.26804586348629,-8.82421703810492,5.64619185699654
"64",-18.9373035331824,-41252.0492189822,-41270.9865225154,0.800283316854099,0.790673563926584,0.72414289395714,0.26804586348629,-8.82421703810492,5.64619185699654
"65",-18.9373035331824,-41252.0492189822,-41270.9865225154,0.800283316854099,0.790673563926584,0.72414289395714,0.26804586348629,-8.82421703810492,5.64619185699654
"66",-18.9373035331824,-41252.0492189822,-41270.9865225154,0.800283316854099,0.790673563926584,0.72414289395714,0.26804586348629,-8.82421703810492,5.64619185699654
"67",-18.9373035331824,-41252.0492189822,-41270.9865225154,0.800283316854099,0.790673563926584,0.72414289395714,0.26804586348629,-8.82421703810492,5.64619185699654
"68",-18.9373035331824,-41252.0492189822,-41270.9865225154,0.800283316854099,0.790673563926584,0.72414289395714,0.26804586348629,-8.82421703810492,5.64619185699654
"69",-18.9373035331824,-41252.0492189822,-41270.9865225154,0.800283316854099,0.790673563926584,0.72414289395714,0.26804586348629,-8.82421703810492,5.64619185699654
"70",-18.9373035331824,-41252.0492189822,-41270.9865225154,0.800283316854099,0.790673563926584,0.72414289395714,0.26804586348629,-8.82421703810492,5.64619185699654
"71",-18.9373035331824,-41252.0492189822,-41270.9865225154,0.800283316854099,0.790673563926584,0.72414289395714,0.26804586348629,-8.82421703810492,5.64619185699654
"72",-18.9373035331824,-41252.0492189822,-41270.9865225154,0.800283316854099,0.790673563926584,0.72414289395714,0.26804586348629,-8.82421703810492,5.64619185699654
"73",-18.9373035331824,-41252.0492189822,-41270.9865225154,0.800283316854099,0.790673563926584,0.72414289395714,0.26804586348629,-8.82421703810492,5.64619185699654
"74",-12.6480401103977,-41591.6369280158,-41604.2849681262,0.271685149198642,0.543120338120894,0.279143732708594,0.383714139939462,-7.39768508098843,5.12576954022244
"75",-7.64294081217003,-41558.2235337146,-41565.8664745268,0.897310067237902,0.212377717691482,0.366078640214747,0.0885640392231881,-7.93386923855011,5.51024837839013
"76",-12.99290306659,-41401.127514046,-41414.1204171126,0.807378398719785,0.558002639120197,0.462414075022343,0.169175757709449,-8.13835266373336,5.63448988558436
"77",-12.99290306659,-41401.127514046,-41414.1204171126,0.807378398719785,0.558002639120197,0.462414075022343,0.169175757709449,-8.13835266373336,5.63448988558436
